,nickname,text,score,like,dislike,time,watch_movie
165,다꾸(odin****),편하게 보고 들을 수 있는 영화 영화보단 노래가 더 유명한듯 ㅋㅋ,10,0,0,2013-04-10 23:00,0
166,ant1****,"난 이영화를 수도 없이 봤지만 지금도 감동에 빠져있을 뿐이였다. 그런데 방금전에 생각지도 못한 평을 봤다.""들을만한 영화다""더이상 무슨평이 필요한지 들어볼만하다.",10,0,0,2013-03-20 4:43,0
167,agaw****,휴그랜트의 영국식 억양이 너무 좋아..Job를 좁이라고 발음..ㅋㅋ,9,0,0,2013-03-14 13:52,0
168,가루다(roma****),"뻔하지 만은 않은 편히볼수 있는, 음악이 좋은 로맨틱영화",9,0,0,2013-03-11 19:10,0
169,로얄스쿨(roya****),로맨스 영화를 어떻게 평할지는 모르겠지만  그남자와 그여자가 만든 사랑노래로 자연스럽게 흘러가는 영화,9,0,0,2013-03-02 15:10,0
170,dong****,중간중간 멜로영화는 지루할수있는데 재밋게 잘 풀어나간 영화,10,0,0,2013-02-20 0:15,0
171,앤서니(ind0****),남녀노소 다 즐길수 있을거 같네요~ 휴그랜트 정말 매력적인거 같아요ㅎㅎ,10,0,0,2013-02-18 20:15,0
172,조현지(bbig****),딱히 흠이없는거같은 영화다꼭한번쯤 봐야할 영화?!,10,0,0,2013-02-18 17:14,0
173,yvig****,최고의 로맨틱코미디 영화. 억지로 웃기려 하지않지만 웃게되고 마음따뜻해지는 영화. 역시 휴그랜트.,10,0,0,2013-02-14 1:35,0
174,kimi****,노래를 듣다가 영화가궁금해서 봤습니다.좋네요,10,0,0,2013-02-12 23:52,0
175,진바라기(seri****),그 여자 그 남자의 환상의 로맨스,8,0,0,2013-02-11 23:09,0
176,john****,넘 좋다ㅎㅎ,10,0,0,2013-02-11 14:18,0
177,무후(mooh****),사랑스럽다!!!!,9,0,0,2013-02-10 4:42,0
178,dh26****,휴그랜트이거보고팬됫다는♥♥♥♥♥♥,10,0,0,2013-02-01 11:28,0
179,웰리(terr****),아 노래도 좋고 감성자극하는구먼,10,0,0,2013-01-29 21:32,0
180,달팽이(sygo****),이런 영화가 좋다!!,9,0,0,2013-01-27 2:35,0
181,뻐큐머겅(oney****),ost가 너무좋다.. ㅠㅠ,10,0,0,2013-01-24 22:51,0
182,dflkgjdslfg(swon****),다시보고싶어지는영화,9,0,0,2013-01-24 2:44,0
183,tn99****,볼륨을 높히고 보자..,9,0,0,2013-01-15 22:43,0
184,zzz1****,휴그랜트와 드류배리모어의 믿고보는 로맨틱코미디.  노래도 좋다,8,0,0,2013-01-13 22:09,0
185,kjin****,아름답고 사랑스런로맨스영화 거기에정말좋은노래들,10,0,0,2013-01-12 15:51,0
186,jswj****,최고,10,0,0,2013-01-10 8:09,0
187,skps****,재밌어요,8,0,0,2013-01-09 14:18,0
188,qnad****,너무 좋네요,10,0,0,2013-01-08 23:18,0
189,닐리리맘보(mbc1****),봐도봐도 설레는 영화 !!,10,0,0,2013-01-08 21:53,0
190,빵(qkdg****),휴그랜트 Pop 부르는 걸로만도 이영화 좋다 나는. 드류베리모어하고도 잘 어울렸던거 같음. 부드러운 분위기 . 궁금한건 전에 휴그랜트 공황장애같은거 있어서 더는 영화출연 안하겠단 기사를 읽었었는데 루머였나 아무튼 계...,9,0,0,2013-01-05 17:40,0
191,dong****,휴그랜트얼굴에세월의무게가 ㅜ,9,0,0,2013-01-02 22:08,0
192,cera****,정말 오랜만에 기분좋아지는 영화에요 노래도 참 좋아요,10,0,0,2013-01-02 2:48,0
193,푸딩사랑(ilov****),제일 좋아하는 영화 !,10,0,0,2012-12-31 21:33,0
194,wkdt****,완전 최고 한국영화의 발전의길을 봉,10,0,0,2012-12-28 13:17,0
195,골드(gold****),편하게 보기 좋은 영화,8,0,0,2012-12-26 0:48,0
196,leeg****,노래 좋다,9,0,0,2012-12-24 18:56,0
197,magi****,아주굳,10,0,0,2012-12-21 17:09,0
198,wyh1****,헤일리 베넷 최고다,10,0,0,2012-12-16 21:07,0
199,dkfm****,이런장르 좋아ㅋ,9,0,0,2012-12-16 17:09,0
200,정원(davi****),진짜 명작이다,10,0,0,2012-12-14 17:44,0
201,시지(me88****),뒤로갈수록 재밌게 봤어요~ 감정이입되서봄,10,0,0,2012-12-13 14:55,0
202,구가(jhpr****),그야 말로 로맨틱 코미디에 무엇을 바라나? 이런 유쾌하고 편한게 로맨틱 코미디지.,8,0,0,2012-12-08 0:02,0
203,bana****,사랑스런 노래,10,0,0,2012-12-03 13:36,0
204,Kate(khle****),"스토리 전개와 함께 완성되는 노래 한 곡도 멋지고, 노랫말에 담긴 의미도 내용전개와 딱 들어맞으면서 참 아름답다. 흐뭇해지는 로맨틱 코미디",10,0,0,2012-11-29 14:45,0
205,ymkw****,재밋다 굿굿굿,10,0,0,2012-11-28 19:38,0
206,wang(samg****),편하게 볼수있음 괜찮은영화 노래가좋음,7,0,0,2012-11-20 2:38,0
207,Max(je00****),나름 괜찮았다.,10,0,0,2012-11-19 15:34,0
208,johnconnor(guev****),유쾌한 전개가 흥미를 유지하는군,7,0,0,2012-11-11 9:34,0
209,happ****,다시봐도 흐뭇한 사랑스러운 알렉스와 소피!,10,0,0,2012-10-31 14:21,0
210,롤랑스(twil****),부담없고 편안한영화ㅎ,9,0,0,2012-10-22 0:51,0
211,kingofkorea(hssu****),정말 편안하게 본 영화입니다. 영화보고 나면 왠지 모르게 기분이 좋아지는 그런 영화ㅎㅎ,10,0,0,2012-10-14 21:49,0
212,뷰티미녀(shin****),ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ재밌게 봤어여.^^,9,0,0,2012-10-14 20:07,0
213,다이앤(dbal****),드류 베리모어는 역시나 사랑스럽고 휴그랜트는 너무멋있다. 두고두고 계속 보고싶은 영화!,10,0,0,2012-10-11 11:11,0
214,DiaRose(diar****),사랑스러운 소피~!!!! 알렉스랑 너무 잘 어울린다^^*,10,0,0,2012-10-06 23:16,0
215,skma****,소피같은 여자 어디 없나.. 너무 이쁘네요 모든게^^,10,0,0,2012-10-05 13:18,0
216,쭈꾸미(b850****),재밌네요^^,10,0,0,2012-10-01 20:21,0
