,nickname,text,score,like,dislike,time,watch_movie
12423,몽중(naro****),행복햇습니다 치유라는말이어울리는 영화입니다,10,0,0,2014-08-28 2:51,0
12424,꼬꼬마(alco****),내 인생 최고의 영화 리스트에 한 작품이 또 추가되었군,10,0,0,2014-08-28 2:33,0
12425,qhsh****,포스터가 영화에반도못미치는듯 영화는정말 소오름,10,0,0,2014-08-28 2:29,0
12426,범닭(wjdg****),"영화가 끝난뒤 의자에 일어나기가 싫었다. 이 영화를 보고난뒤의 황홀하고 즐거웠던 충격을 꼭꼭씹어 되새김질 하고싶어졌다. 두번,세번을봐도 돈과 시간이 아깝지않은 영화인것같습니다.",10,0,0,2014-08-28 2:28,0
12427,wyda****,원스와는 또 다른 매력의 영화네여!! 평점 처음 써보는데 보고 오는 동안 계속 노래가 떠오르고 잊혀지질 않네요~ 오랜만에 진짜 좋은 영화 봤습니다,10,0,0,2014-08-28 2:27,0
12428,대구(rlae****),영화보고 행복해지는건 오랜만이였다. 이런영화의 스크린점유율이 더높아졌으면 좋겠슴...,10,0,0,2014-08-28 2:27,0
12429,현이(rpdl****),그저 그렇네요 노래말고는 딱히 좋은점을 찾기 힘든영화,8,0,0,2014-08-28 2:08,관람객
12430,긍정(wlrn****),정말로 진심으로인생영화,10,0,0,2014-08-28 2:06,0
12431,아라(9202****),사운드트랙 굿굿!!!,10,0,0,2014-08-28 2:04,0
12432,희연님ㅎㅎ(chy_****),최고 영상미도 좋고 너무 좋아그냥다좋앗음ㅜㅜ,10,0,0,2014-08-28 1:58,0
12433,구림(skfk****),쩐다... 중간중간 재밌고 ㅋㅋ 지루하지않고 ㅋㅋ 노래들 너무좋음..집에오는길에 바로 ost몽땅들었음..ㅋㅋㅋ 꿀잼..b,9,0,0,2014-08-28 1:54,0
12434,BBong(tjqh****),좋다는말밖에안나오네요,10,0,0,2014-08-28 1:54,0
12435,montevideo(mont****),내일 또 보고싶다!! 아니 듣고싶다^^~,9,0,0,2014-08-28 1:51,0
12436,glor****,잔잔하게  들을 수 있어  좋은 영화! 듣는 즐거움이 라는걸 오랜만에 느껴봤다. 조조로 보면 좋은 영화,9,0,0,2014-08-28 1:43,0
12437,love****,ost넘넘좋다ㅠㅠㅠ,10,0,0,2014-08-28 1:40,관람객
12438,정대성(eldr****),정말 오랜만에 영화관에서 영화본 기분입니다!군대가는 친구랑 둘이심야영화봤는데 좋았어요.,10,0,0,2014-08-28 1:40,0
12439,eppe****,최고 최고. 12시에  보구  나와 가슴벅차서  엠넷서 OST 듣구있음~~,10,0,0,2014-08-28 1:31,0
12440,혜림(0111****),영화를 본후 산책하면서 ost를 다시듣게만드는 영화 낮보다는 밤에 보고 곱씹으며 집에 가면 최고일듯엔딩이 그렇게 끝나줘서 고마운 영화 !,10,0,0,2014-08-28 1:29,0
12441,sin123(bioc****),"시간이 너무 빨리가서 그런가 갑자기 끝난다는 느낌은 받았으나 가볍게 즐기기 좋은 영화고,    두 분 꿀성대 덕에 ost 하나하나 주옥같네요 밤에 센치할때 한번 더 보고싶은 영화",10,0,0,2014-08-28 1:21,관람객
12442,punc****,"전형적인 헐리웃 무비이지만 그래도 난 좋다, 키이라 나이틀리 그녀의 목소리와 연기까지 모두.",9,0,0,2014-08-28 1:21,0
12443,엠창규(bck1****),노래며 배우들의 연기며 구성이며 하나도 빠지지 않았다.,10,0,0,2014-08-28 1:09,0
12444,부엉이(dawn****),중간중간 배우들의 연기와 음악으로 소통되는것이 너무 즐겁고 보고나면 며칠동안은 OST만 듣게되는 영화다또봐야지ㅠ,10,0,0,2014-08-28 1:02,0
12445,abcd****,밑에 다른분들이 이야기 하시는 것처럼 작은 콘서트혹은 바에  와서 편안하게 노래듣고 가는 기분 ~영화보는 동안 나도모르게 빠져들었어요.. 요즘 명량도 재미있다고하지만 비긴어게인도 만만치않음...ㅠㅠ 또는 음악하는10...,10,0,0,2014-08-28 1:02,0
12446,hayo****,보면 이거구나느낄수있는영화 정말최고♥,10,0,0,2014-08-28 0:45,0
12447,피글렛(rlad****),굿!참 따뜻한 영화네요.역시 음악은 공간을 꽉 채워주죠^-^,10,0,0,2014-08-28 0:43,0
12448,지니(kdj1****),"주변 소리, 도시 풍경, 느낌까지 담아낸, 삶 자체의 음악들",9,0,0,2014-08-28 0:42,0
12449,카세트11(asgo****),느므느므 사랑스러운 영화ㅋㅋㅋ 왜 우리 관객들은 속으로만 춤췄을지 ㅠㅠ 좀 흔들고 그러지 어찌 가만히 있었누ㅋㅋㅋㅋ 너무 들썩거렸어 ㅋㅋㅋ,10,0,0,2014-08-28 0:38,0
12450,허허ㅎㅓ(hase****),뭔가 여운이 남고 마음이 편안해지는 영화. 원스보면서도 그런 여운과 감정이 남았는데 이영화 또한 그럼...,10,0,0,2014-08-28 0:30,0
12451,츄랭(wjdt****),완전재밌어요 ㅜㅜ! 노래가완전주옥!!두번이상봐도재밌을듯,10,0,0,2014-08-28 0:25,관람객
12452,guev****,그냥 보면  이 점수구나  알수있는 영화,10,0,0,2014-08-28 0:25,0
12453,뽄(dhdb****),노래너무좋아요~ㅎㅎ,8,0,0,2014-08-28 0:24,0
12454,김민지(jung****),정말 멋진영화엿고 노래 너무좋음...,10,0,0,2014-08-28 0:17,0
