,nickname,text,score,like,dislike,time,watch_movie
685,이송미(p455****),올 해 본 영화들 중에 제일 좋았어요 ㅠㅠ 보는데 막 벅차오르고...눈물났어요!아이리쉬 특유의 분위기도 좋았어욤 배우들 비쥬얼도 정말 최고!!!!♡,10,1,0,2016-05-29 22:15,0
686,큐벨(psyl****),"행복한 슬픔, 슬픔을 즐길 수 있는 경지, 아직 모르니까 나도 애인듯",10,1,0,2016-05-29 22:11,관람객
687,김서경(tjru****),너무 좋은 영화!!나도 무언가 달라질 것 같은 기분,10,1,0,2016-05-29 22:05,0
688,leez****,너무 좋은 영화네요 음악이 좋았어요.,9,1,0,2016-05-29 22:04,0
689,도짜리(sane****),힐링무비 ~ 존카니 만세!!!!,10,1,0,2016-05-29 21:58,관람객
690,지뉴킴(jine****),마무리가 너무 좋았습니다,8,1,0,2016-05-29 21:57,관람객
691,쩜(eden****),유치하지만 순수하고 음악 좋고.. 보고나니 순수한 마음이 생긴 것 같아 괜찮네요.,7,1,0,2016-05-29 21:47,관람객
692,배쏘(tkfk****),최고최고최고ㅠㅠㅠ♥,10,1,0,2016-05-29 21:39,관람객
693,후회없이(psjr****),"첫사랑의 감정에서 돋아나는 순수한 열정의 그림이 아름답고, 다듬어져가는 진심담긴 음악이 아름답고, 청춘의 고뇌가 아름답고...",9,1,0,2016-05-29 21:36,관람객
694,ghks****,원스 비긴어게인에 이어서 나온 명작마음이 훈훈 해지는 영화,10,1,0,2016-05-29 21:35,관람객
695,12103259(dh21****),이 감독님 왜이렇게 영화를 잘 만드시죠....? ㅠㅠ 인생영화 될 자격 있네요..,10,1,0,2016-05-29 21:16,0
